300000.0,(100.74635683866336+134.2066179063267j)
318562.5,(101.20424891475736+144.0453621852615j)
337125.0,(101.38587622930041+153.78726877070181j)
355687.5,(102.16089518014367+162.94952554512827j)
374250.0,(102.60768215470837+172.4992855237964j)
392812.5,(103.51783828835424+182.12580051021442j)
411375.0,(104.3639817364978+192.92282996929782j)
429937.5,(106.25309553111745+202.79061234791578j)
448500.0,(107.08243445326364+213.1531139294756j)
467062.5,(108.94652399011746+223.69751073708647j)
485625.0,(110.91386805276892+233.77330263423684j)
504187.5,(113.77247323715525+245.2651025954881j)
522750.0,(116.15312501155657+255.65457878204006j)
541312.5,(118.62910880866734+267.41475419489024j)
559875.0,(121.96040246298617+278.1449866987589j)
578437.5,(124.90424928856908+289.5065635101601j)
597000.0,(129.07139453142034+299.93047978384675j)
615562.5,(134.1032626569641+311.9201640540207j)
634125.0,(138.4196309542829+322.4901837232163j)
652687.5,(143.396473693386+334.31070226980466j)
671250.0,(148.21255073359956+344.7062185068088j)
689812.5,(154.62500685269217+356.2052058429412j)
708375.0,(160.64576549498736+367.35822941414114j)
726937.5,(166.8294400708438+378.3165190245592j)
745500.0,(172.56001316479222+389.43204095200616j)
764062.5,(180.06452212088527+399.66661370382565j)
782625.0,(188.0868094254414+410.1832020490541j)
801187.5,(196.33789708320433+420.9760673056179j)
819750.0,(203.45189574776865+432.0215343072857j)
838312.5,(211.59223946366+441.1502077136393j)
856875.0,(220.8568090395063+451.8759258605968j)
875437.5,(228.84152059685408+460.78221730676637j)
894000.0,(238.76984690335985+470.8615330969454j)
912562.5,(248.4441031223623+479.8925296206676j)
931125.0,(258.5559793701376+488.9138011624559j)
949687.5,(268.6477694178385+497.6463464979634j)
968250.0,(278.9935966098295+506.4855441166786j)
986812.5,(288.7907864356466+514.3571789941512j)
1005375.0,(300.4595405834103+523.5402179403961j)
1023937.5,(311.1569486503077+531.6379062750459j)
1042500.0,(322.9781790751202+538.8686998850022j)
1061062.5,(335.83598957883964+546.311164508594j)
1079625.0,(347.7314075969813+553.1997960386141j)
1098187.5,(359.0426765987566+560.1231685657469j)
1116750.0,(372.4573022899471+565.9706474976143j)
1135312.5,(385.380558274472+573.2637314449926j)
1153875.0,(398.6453616450731+578.5725313056054j)
1172437.5,(410.50590647823304+582.5830185294351j)
1191000.0,(424.98744633945364+588.8410311748403j)
1209562.5,(439.23010494941303+592.5394639986899j)
1228125.0,(451.9957579462705+597.4383538886708j)
1246687.5,(466.1298082474499+600.4718008190661j)
1265250.0,(480.70903186979547+605.3549392586249j)
1283812.5,(494.2334329747547+607.7086183611069j)
1302375.0,(509.10794675401735+609.6051034157387j)
1320937.5,(524.1904730999728+612.2878259071427j)
1339500.0,(538.9796303940008+614.1609735324649j)
1358062.5,(551.778651284046+615.2432870199054j)
1376625.0,(568.2363958696596+616.3285716694741j)
1395187.5,(582.1076596113994+616.9241846724835j)
1413750.0,(596.4038756635963+616.6887713256172j)
1432312.5,(611.4575398651759+613.292697532702j)
1450875.0,(625.757672681085+613.9320754396728j)
